Site,Source,Date,Season,Time,Air Temp (C),cfs,cms,temp,pH,orp,spc,O18,D,D_Ex,Na,Mg,K,Ca,F,Cl,NO2,Br,NO3,Phosphate,Sulphate,Alk,BiCarb
Quaking Aspen,C aqifer,9/1/2018,Autumn,16:50,21,0.001917883,5.43E-05,9.6,7.36,164.1,473.3,-13.07992908,-93.58936838,11.05006424,1.667605223,27.97567452,1.731530307,65.03576499,0.098186977,0.91880023,0.067223001,0,0.191212832,0.409953641,2.127367686,288,351.36
Quaking Aspen,C aqifer,10/13/2018,Autumn,16:00,14,0.000523119,1.48E-05,8.8,7.2,199.2,469.4,-12.81036778,-92.77918217,9.703760062,1.675701124,28.11163884,2.174250938,66.36375397,0.102032591,0.910641933,0.065722209,0,0.163624635,0.409383738,2.110932418,276,336.72
Quaking Aspen,C aqifer,11/11/2018,Winter,13:03,9,0.00028104,7.96E-06,5.3,7.44,185.2,433.3,-12.84155121,-92.36583986,10.36656979,,,,,,,,,,,,,
Watts,C aqifer,5/24/2018,Summer,12:00,20,0.001933712,5.48E-05,8.5,6.91,196.3,495,-12.83769133,-93.72529855,8.976232114,1.457068132,24.15152328,0.298305165,69.50049923,0.071105555,1.09353353,0,0,0,0,2.938377843,280,341.6
Watts,C aqifer,6/26/2018,Summer,10:30,23,0.001970884,5.58E-05,8.59,6.74,228.4,516,-12.87581318,-93.16137356,9.845131912,1.377298039,24.99750957,0.312843412,72.23280365,0.084880759,1.206968375,0,0,0,0,2.570083087,330,402.6
Watts,C aqifer,7/13/2018,Summer,18:30,15.5,0.001702975,4.82E-05,8.4,7.55,NA,350.3,-13.06398808,-92.56065441,11.95125024,1.322144434,28.00710854,0.536434976,132.7973232,0.07432495,1.264318758,0,0,0,0,2.621232623,224,273.28
Watts,C aqifer,8/5/2018,Autumn,15:45,25,0.001501846,4.25E-05,8.96,7.11,246.7,661,-13.72265802,-93.48923348,16.29203069,1.929059161,28.52145899,1.650633232,75.11895239,0.099491016,1.029044914,0.069381327,0,0.184796164,0.449665794,2.502918942,280,341.6
Watts,C aqifer,9/1/2018,Autumn,17:50,16,0.001245757,3.53E-05,8.4,7.44,134.6,505.9,-13.0711347,-92.5684264,12.00065122,2.035614252,30.57477908,2.550967506,76.01039061,0.099506003,1.067948915,0.265171835,0.156914486,0.185475411,0.46175782,2.464201774,308,375.76
Watts,C aqifer,10/13/2018,Autumn,15:10,12,0.001496123,4.24E-05,9,7.56,188,502.3,-13.83973029,-92.44054282,18.27729949,1.774290443,28.14154667,1.707865912,70.92112324,0.097170332,1.021023659,0,0.148334981,0,0.417469784,2.423111214,304,370.88
Watts,C aqifer,11/10/2018,Winter,12:30,5,0.001403362,3.97E-05,8.7,7.76,181.1,461.9,-12.81935045,-92.2163569,10.33844671,,,,,,,,,,,,,
Lower Two,C aqifer,6/26/2018,Summer,12:20,29,0.001064316,3.01E-05,6.48,6.45,239.5,480,-13.04337835,-92.15008847,12.19693831,1.299540653,22.63035298,0.382970692,65.53829977,0.086573902,1.358012609,0,0,0,0.13649546,2.489986922,270,329.4
Lower Two,C aqifer,8/5/2018,Autumn,11:40,24,0.000966039,2.74E-05,6.7,7.86,221,595,-12.43046872,-90.9114419,8.532307856,1.704025298,25.6652962,1.87413142,68.0639193,0.095617461,1.110799728,0,0,0.215337057,0.365040903,2.335977481,305,372.1
Lower Two,C aqifer,11/10/2018,Winter,14:36,6,0.001455787,4.12E-05,4.6,8.03,179.7,419,-13.81437455,-92.59734833,17.91764805,,,,,,,,,,,,,
Timp,C aqifer,5/24/2018,Summer,14:00,22,0.003457428,9.79E-05,6.27,6.8,205.2,481,-12.8808478,-92.61068376,10.43609861,1.340754975,30.58140516,0.32730195,58.30454827,0.082716006,1.20501542,0,0,0,0.462398732,2.534066701,290,353.8
Timp,C aqifer,6/26/2018,Summer,15:10,26,0.003187355,9.03E-05,9.6,7.27,182.8,443.8,-12.93115882,-92.93399719,10.51527335,1.277830723,30.54943006,0.390337354,58.23422503,0.0937855,1.372175673,0,0,0,0,2.795053865,326,397.72
Timp,C aqifer,7/13/2018,Summer,16:30,18,0.003039376,8.61E-05,6.6,7.31,,457.2,-13.28144984,-92.55460748,13.69699126,1.203672618,34.77878084,0.201188718,59.47674823,0.076687063,1.338112782,0,0,0,0,2.926876836,276,336.72
Timp,C aqifer,8/6/2018,Autumn,,,,,,,,,-13.51844695,-93.22742255,14.92015302,1.835483897,36.93090071,1.991699379,61.77791481,0.095893256,1.208411629,0,0,0.285352194,0.425832452,2.673366437,,
Timp,C aqifer,9/1/2018,Autumn,14:45,19,0.003688876,0.000104457,7.4,7.41,,488,-13.36734916,-93.18343543,13.75535786,1.879523255,36.2431949,1.872772848,59.81941946,0.094816888,1.173864258,0.126787454,0,0.272054398,0.40105877,2.662210409,313,381.86
Timp,C aqifer,10/13/2018,Autumn,14:15,13,0.003134794,8.88E-05,7.21,7.21,173.2,482.1,-13.12583615,-93.04787086,11.95881831,1.770296275,35.68375812,1.986033668,60.35001578,0.096751142,1.157135464,0.068130057,0,0.245583122,0.40545053,2.643153566,288,351.36
Timp,C aqifer,11/10/2018,Winter,15:40,8,0.003012467,8.53E-05,6.6,7.08,136.5,504.7,-13.82133113,-93.03523594,17.53541311,,,,,,,,,,,,,
Parissawampitts,C aqifer,5/25/2018,Summer,9:00,20,0.000662652,1.88E-05,8.15,6.78,215,487,-13.14234757,-90.91744075,14.22133984,1.562847743,29.01632519,0.43178678,65.40219457,0.095635687,1.371479929,0,0,0,0.325527499,2.581061375,260,317.2
Parissawampitts,C aqifer,6/26/2018,Summer,10:50,23,0.000589166,1.67E-05,6.6,7.21,245,495.1,-12.83332014,-92.57426289,10.0922982,1.579952083,32.95893124,0.421320556,66.25847149,0.105389952,1.634432757,0.043760953,0,0.121050372,0.141436318,2.888826183,330,402.6
Parissawampitts,C aqifer,7/13/2018,Summer,11:30,18,0.000476816,1.35E-05,8.9,7.54,,480,-12.96951613,-93.84341822,9.912710778,1.502973177,36.55935961,0.245089057,74.00122466,0.100197257,1.716354906,0,0,0,0,2.964091938,320,390.4
Parissawampitts,C aqifer,8/5/2018,Autumn,11:57,29,0.000615064,1.74E-05,7.4,7.34,,514.1,-13.6274086,-93.59889747,15.42037132,1.92944532,38.310301,1.773566089,65.33766949,0.111348914,1.367616943,1.232399723,0.178201714,0.183746338,0.42811601,2.691316345,318,387.96
Parissawampitts,C aqifer,9/1/2018,Autumn,10:20,16,0.000518112,1.47E-05,6.1,7.4,147.2,524.3,-13.32889975,-92.19887929,14.43231872,2.117679954,36.98257954,2.236685351,66.57841292,0.110003529,1.393115957,0,0.173144142,0.028995406,0.436271321,2.627670489,344,419.68
Parissawampitts,C aqifer,10/13/2018,Autumn,11:21,17,0.001491056,4.22E-05,6,7.22,,394.3,-12.43141764,-87.57121368,11.88012747,2.096449776,22.25671875,2.379268737,51.10526742,0.097475875,1.344941711,0,0,0.279933581,0.547316038,2.321524874,200,244
Parissawampitts,C aqifer,11/11/2018,Winter,11:30,6,0.000544517,1.54E-05,3.8,7.07,76.9,475.1,-13.30706581,-92.16959198,14.28693447,,,,,,,,,,,,,
Squaw,C aqifer,5/24/2018,Summer,17:30,15,0.001960032,5.55E-05,7.62,6.77,196.3,541,-13.53063216,-94.99448448,13.25057279,1.31213501,32.65213156,0.331539457,65.85015014,0.103491608,1.084492757,0,0,0,0.25618479,2.403093595,280,341.6
Squaw,C aqifer,6/26/2018,Summer,12:45,23,0.001208113,3.42E-05,7.8,7.15,119.3,513.8,-13.02904453,-93.68968994,10.54266628,1.307411067,34.12763873,0.224555336,70.29096118,0.106753433,1.198222027,0.111352634,0,0.038412541,0,2.676416595,305,372.1
Squaw,C aqifer,7/13/2018,Summer,13:30,18,0.001173618,3.32E-05,7.8,7.2,197.7,509.5,-13.30614829,-93.47417851,12.9750078,1.425412379,37.08966791,1.197454626,74.30458419,0.103974262,1.225607091,0,0,0,0,2.526274829,315,384.3
